<key1>ADI</key1><ls>Dha1tup._xxiv_,_68<wsid>24.68</wsid></ls><L>24187</L>
<key1>ASad</key1><ls>Dha1tup._xx_,_25.<wsid>20.25</wsid></ls><L>27426</L>
<key1>iNg</key1><ls>Dha1tup._v_,_46<wsid>5.46</wsid></ls><L>28638</L>
<key1>iw</key1><ls>Dha1tup._ix_,_31<wsid>9.31</wsid></ls><L>28677</L>
<key1>ind</key1><ls>Dha1tup._iii_,_26<wsid>3.26</wsid></ls><L>28845</L>
<key1>il</key1><ls>Dha1tup._xxviii_,_65<wsid>28.65</wsid></ls><L>29396</L>
<key1>IK</key1><ls>Dha1tup._v_,_28.<wsid>5.28</wsid></ls><L>29713</L>
<key1>INK</key1><ls>Dha1tup._v_,_28<wsid>5.28</wsid></ls><L>29714</L>
<key1>Ij</key1><ls>Dha1tup._vi_,_24<wsid>6.24</wsid></ls><L>29717</L>
<key1>Int</key1><ls>Dha1tup._iii_,_25.<wsid>3.25</wsid></ls><L>29747</L>
<key1>uW</key1><ls>Dha1tup._ix_,_54.<wsid>9.54</wsid></ls><L>30626</L>
<key1>ud</key1><ls>Dha1tup._xxix_,_20<wsid>29.20</wsid></ls><L>32059</L>
<key1>upadI</key1><ls>Dha1tup._xxvi_,_25<wsid>26.25</wsid></ls><L>34734</L>
<key1>ubj</key1><ls>Dha1tup._xxviii_,_20<wsid>28.20</wsid></ls><L>37050</L>
<key1>uB</key1><ls>Dha1tup._xxviii_,_32<wsid>28.32</wsid></ls><L>37051</L>
<key1>ulaq</key1><ls>Dha1tup._xxii_,_9<wsid>22.9</wsid></ls><L>37438</L>
<key1>uz</key1><ls>Dha1tup._xvii_,_45<wsid>17.45</wsid></ls><L>37688</L>
<key1>Uy</key1><ls>Dha1tup._xiv_,_2.<wsid>14.2</wsid></ls><L>38000</L>
<key1>Urd</key1><ls>Dha1tup._ii_,_19<wsid>2.19</wsid></ls><L>38104</L>
<key1>Urv</key1><ls>Dha1tup._xv_,_60.<wsid>15.60</wsid></ls><L>38324</L>
<key1>Uz</key1><ls>Dha1tup._xvii_,_32.<wsid>17.32</wsid></ls><L>38333</L>
<key1>fc</key1><ls>Dha1tup._xxviii_,_19<wsid>28.19</wsid></ls><L>38696</L>
<key1>fC</key1><ls>Dha1tup._xxviii_,_15<wsid>28.15</wsid></ls><L>38773</L>
<key1>fj</key1><ls>Dha1tup._vi_,_16<wsid>6.16</wsid></ls><L>38776</L>
